building,room,maxnum,1,2,3,4,5,6,7,8,9,10,11
MBA大楼,201,66.0,本科,本科,本科,本科,本科,本科,本科,本科,,,
MBA大楼,202,70.0,MBA,MBA,MBA,MBA,,,,,,,
MBA大楼,401,10.0,EDP,EDP,EDP,EDP,,,,,,,
MBA大楼,402,168.0,EDP,EDP,EDP,EDP,IRO,IRO,IRO,IRO,,,
MBA大楼,501案例室,8.0,商务系,商务系,商务系,商务系,MBA,MBA,MBA,MBA,MBA,MBA,MBA
MBA大楼,502案例室,8.0,,,,,,,,,,,
MBA大楼,503案例室,8.0,,,,,,,,,,,
MBA大楼,504案例室,8.0,MBA,MBA,MBA,MBA,MBA,MBA,MBA,MBA,MBA,MBA,MBA
MBA大楼,505案例室,6.0,MBA,MBA,MBA,MBA,MBA,MBA,MBA,MBA,MBA,MBA,MBA
MBA大楼,506案例室,6.0,,,,,,,,,,,
MBA大楼,507案例室,6.0,,,,,,,,,,,
MBA大楼,508案例室,6.0,,,,,,,,,,,
MBA大楼,509案例室,6.0,,,,,,,,,,,
MBA大楼,601,61.0,本科,本科,本科,本科,金融硕士,金融硕士,金融硕士,金融硕士,,,
MBA大楼,602,154.0,本科,本科,本科,本科,本科,本科,本科,本科,,,
MBA大楼,701,61.0,本科,本科,本科,本科,,,,,,,
MBA大楼,702,141.0,本科,本科,本科,本科,本科,本科,本科,本科,本科,本科,本科
MBA大楼,801,85.0,金融硕士,金融硕士,金融硕士,金融硕士,研究生,研究生,研究生,研究生,,,
MBA大楼,901,61.0,EDP,EDP,EDP,EDP,本科,本科,本科,本科,,,
MBA大楼,902,96.0,本科,本科,本科,本科,本科,本科,本科,本科,,,
MBA大楼,专用402合班,168.0,,,,,,,,,,,
MBA大楼,一楼大堂,500.0,EDP,EDP,EDP,EDP,EDP,EDP,EDP,EDP,,,
MBA大楼,三楼会议室,18.0,,,,,商务系,商务系,商务系,商务系,,,
MBA大楼,以课表为准（702）,100.0,,,,,,,,,,,
叶葆定堂,"3rdFloor,IPT",300.0,,,,,本科,本科,本科,本科,,,
叶葆定堂,IPT101,72.0,本科,本科,本科,本科,,,,,,,
叶葆定堂,IPT102,72.0,本科,本科,本科,本科,本科,本科,本科,本科,本科,本科,本科
叶葆定堂,IPT103,88.0,本科,本科,本科,本科,本科,本科,本科,本科,,,
叶葆定堂,IPT201,56.0,本科,本科,本科,本科,研究生,研究生,研究生,研究生,学工部,学工部,学工部
叶葆定堂,IPT202,56.0,研究生,研究生,研究生,研究生,研究生,研究生,研究生,研究生,学工部,学工部,学工部
叶葆定堂,IPT203,30.0,,,,,本科,本科,本科,本科,学工部,学工部,学工部
叶葆定堂,三楼外大堂,60.0,,,,,,,,,,,
叶葆定堂,三楼贵宾室,10.0,,,,,,,,,,,
黄铭衍堂,104,44.0,,,,,,,,,,,
黄铭衍堂,202,44.0,,,,,,,,,,,
黄铭衍堂,203,56.0,EDP,EDP,EDP,EDP,EDP,EDP,EDP,EDP,,,
黄铭衍堂,204,56.0,,,,,,,,,,,
黄铭衍堂,303,35.0,本科,本科,本科,本科,本科,本科,本科,本科,,,
黄铭衍堂,305,50.0,研究生,研究生,研究生,研究生,本科,本科,本科,本科,,,
黄铭衍堂,306,50.0,博士生,博士生,博士生,博士生,,,,,,,
黄传经堂,"107,WongChuenKingHall",270.0,,,,,本科,本科,本科,本科,本科,本科,本科
黄传经堂,"308,WongChuenKingHall",320.0,研究生,研究生,研究生,研究生,,,,,本科,本科,本科
黄传经堂,403,116.0,,,,,,,,,,,
黄传经堂,404,119.0,,,,,,,,,,,
黄传经堂,405,54.0,学工部,学工部,学工部,学工部,学工部,学工部,学工部,学工部,学工部,学工部,学工部
黄传经堂,406,53.0,院外合作,院外合作,院外合作,院外合作,,,,,院外合作,院外合作,院外合作
黄传经堂,502,120.0,,,,,EDP,EDP,EDP,EDP,院外合作,院外合作,院外合作
黄传经堂,503,90.0,,,,,,,,,经济学系,经济学系,经济学系
黄传经堂,504,100.0,,,,,EDP,EDP,EDP,EDP,,,
林护堂,103,90.0,本科,本科,本科,本科,,,,,,,
林护堂,202,45.0,,,,,,,,,,,
林护堂,203,55.0,院外合作,院外合作,院外合作,院外合作,院外合作,院外合作,院外合作,院外合作,,,
林护堂,401,72.0,,,,,,,,,,,
林护堂,402,2.0,,,,,,,,,,,
林护堂,403,24.0,,,,,,,,,,,
林护堂,404,42.0,,,,,,,,,,,
林护堂,503,100.0,EDP,EDP,EDP,EDP,EDP,EDP,EDP,EDP,,,
